Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 268	ACO56306.1	G-protein-coupled chemokine receptor [Lumpy skin disease virus Sudan/99 Atbara]	377	Lumpy skin disease virus Sudan/99 Atbara	4.99E-07	65	118	Genomic Viruses	2861056	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Herelleviridae	Twortvirinae	Mammaliicoccus phage vB_MscM-PMS3
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 269	ACO56305.1	G-protein-coupled chemokine receptor [Lumpy skin disease virus Niger Tougounous]	377	Lumpy skin disease virus Niger Tougounous	4.99E-07	65	118	Genomic Viruses	1898060	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus Sa
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 270	ACO56291.1	G-protein-coupled chemokine receptor [Lumpy skin disease virus Burkina Banfora]	377	Lumpy skin disease virus Burkina Banfora	4.99E-07	65	118	Genomic Viruses	159183	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 2
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 271	AAN02577.1	CC chemokine receptor-like protein [Lumpy skin disease virus NW-LW]	377	Lumpy skin disease virus NW-LW	4.99E-07	65	118	Genomic Viruses	10325	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus macacinealpha1
RNA Editing and RNA Regulation Proteins	P55265_blast_results.txt	P55265	Hit 289	AAN02602.1	putative PKR inhibitor [Lumpy skin disease virus NW-LW]	177	Lumpy skin disease virus NW-LW	0.00663493	29	43	Genomic Viruses	10325	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus macacinealpha1
Cell Surface Receptor	Q08722_processed_blast_results.xml	Q08722	Hit 475	AAN02696.1	CD47-like protein [Lumpy skin disease virus NW-LW]	301	Lumpy skin disease virus NW-LW	1.08E-05	71	134	Genomic Viruses	10325	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus macacinealpha1
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 272	ACO56304.1	G-protein-coupled chemokine receptor [Lumpy skin disease virus Niger Ibetecene]	377	Lumpy skin disease virus Niger Ibetecene	4.99E-07	65	118	Genomic Viruses	256729	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 2
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 281	NP_150445.1	G protein-coupled chemokine receptor-like protein [Lumpy skin disease virus NI-2490]	381	Lumpy skin disease virus NI-2490	5.34E-07	65	118	Genomic Viruses	2704413	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 4
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 286	AAK84972.1	LSDV011 CC chemokine receptor-like protein S78201 [Lumpy skin disease virus NI-2490]	381	Lumpy skin disease virus NI-2490	5.34E-07	65	118	Genomic Viruses	2704413	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 4
RNA Editing and RNA Regulation Proteins	P55265_blast_results.txt	P55265	Hit 285	NP_150468.1	double-strand RNA-binding protein [Lumpy skin disease virus NI-2490]	177	Lumpy skin disease virus NI-2490	0.00663493	29	43	Genomic Viruses	2704413	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 4
RNA Editing and RNA Regulation Proteins	P55265_blast_results.txt	P55265	Hit 290	AAK84995.1	LSDV034 putative PKR inhibitor [Lumpy skin disease virus NI-2490]	177	Lumpy skin disease virus NI-2490	0.00663493	29	43	Genomic Viruses	2704413	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 4
Cell Surface Receptor	Q08722_processed_blast_results.xml	Q08722	Hit 484	NP_150562.1	CD47-like protein [Lumpy skin disease virus NI-2490]	300	Lumpy skin disease virus NI-2490	1.42E-05	69	132	Genomic Viruses	2704413	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 4
Cell Surface Receptor	Q08722_processed_blast_results.xml	Q08722	Hit 486	AAK85089.1	LSDV128 CD47-like protein [Lumpy skin disease virus NI-2490]	300	Lumpy skin disease virus NI-2490	1.42E-05	69	132	Genomic Viruses	2704413	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Lymphocystivirus	Lymphocystis disease virus 4
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 298	Q86917.1	RecName: Full=G-protein coupled receptor homolog Q2/3L [Sheeppox virus KS-1]	381	Sheeppox virus KS-1	5.58E-07	65	118	Genomic Viruses	160796	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Skunkpox virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 301	ACO56309.1	G-protein-coupled chemokine receptor [Lumpy skin disease virus RSA/06 Cow t6]	377	Lumpy skin disease virus RSA/06 Cow t6	5.61E-07	55	108	Genomic Viruses	47929	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus macacinebeta3
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 303	ACO56313.1	G-protein-coupled chemokine receptor [Lumpy skin disease virus RSA/00 OP126402]	377	Lumpy skin disease virus RSA/00 OP126402	5.71E-07	65	118	Genomic Viruses	2845555	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus macacinealpha3
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 358	YP_009342097.1	7 transmembrane receptor [Lymphocystis disease virus Sa]	327	Lymphocystis disease virus Sa	9.93E-07	82	142	Genomic Viruses	2506605	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus LCMAC201
Cell Death and Survival Related	P25445_blast_results.txt	P25445	Hit 20	YP_009342153.1	tumor necrosis factor receptor protein [Lymphocystis disease virus Sa]	291	Lymphocystis disease virus Sa	0.00094983	37	56	Genomic Viruses	2506605	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus LCMAC201
Metabolic Hormones	P01344_blast_results.txt	P01344	Hit 5	YP_009342247.1	putative insuline-like growth factor family member [Lymphocystis disease virus Sa]	80	Lymphocystis disease virus Sa	0.000114027	23	36	Genomic Viruses	2506605	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus LCMAC201
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 359	AOC55113.1	7 transmembrane receptor [Lymphocystis disease virus 3]	327	Lymphocystis disease virus 3	9.93E-07	82	142	Genomic Viruses	3112148	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus futianmevirus
Cell Death and Survival Related	P25445_blast_results.txt	P25445	Hit 21	AOC55169.1	tumor necrosis factor receptor protein [Lymphocystis disease virus 3]	291	Lymphocystis disease virus 3	0.00094983	37	56	Genomic Viruses	3112148	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus futianmevirus
Metabolic Hormones	P01344_blast_results.txt	P01344	Hit 6	AOC55263.1	putative insuline-like growth factor family member [Lymphocystis disease virus 3]	80	Lymphocystis disease virus 3	0.000114027	23	36	Genomic Viruses	3112148	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus futianmevirus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 364	ACO56298.1	G-protein-coupled chemokine receptor [Goatpox virus Oman/84]	374	Goatpox virus Oman/84	1.32E-06	57	105	Genomic Viruses	2590895	Viruses	Uroviricota	Caudoviricetes	Mollymurvirus	Mollymurvirus	Mollymurvirus	Mollymurvirus mollymur
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 373	ABQ43634.1	chemokine inhibitor [Tanapox virus]	351	Tanapox virus	3.22E-06	54	99	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 374	ABQ43478.1	chemokine inhibitor [Tanapox virus]	351	Tanapox virus	3.28E-06	54	99	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
RNA Editing and RNA Regulation Proteins	P55265_blast_results.txt	P55265	Hit 35	ABQ43663.1	dsRNA-binding [Tanapox virus]	181	Tanapox virus	0.00126919	31	44	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
RNA Editing and RNA Regulation Proteins	P55265_blast_results.txt	P55265	Hit 36	ABQ43508.1	dsRNA-binding [Tanapox virus]	181	Tanapox virus	0.00126919	31	44	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
Gastrointestinal 	P46663_blast_results.txt	P46663	Hit 78	ABQ43776.1	vCCR8 [Tanapox virus]	323	Tanapox virus	1.04E-26	96	160	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
Gastrointestinal 	P46663_blast_results.txt	P46663	Hit 79	ABQ43621.1	vCCR8 [Tanapox virus]	323	Tanapox virus	1.04E-26	96	160	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
Cardiovascular and Renal Hormones	P01019_blast_results.txt	P01019	Hit 229	ABQ43625.1	SERPIN/crmA ortholog [Tanapox virus]	334	Tanapox virus	1.54E-08	46	84	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
Cardiovascular and Renal Hormones	P01019_blast_results.txt	P01019	Hit 230	ABQ43780.1	SERPIN/crmA ortholog [Tanapox virus]	334	Tanapox virus	1.57E-08	46	84	Genomic Viruses	2560830	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Percavirus	Percavirus vespertilionidgamma1
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 402	Q89609.1	RecName: Full=G-protein coupled receptor E1 [Equid herpesvirus type 2 strain 86/87]	383	Equid herpesvirus type 2 strain 86/87	1.59E-05	57	116	Genomic Viruses	1983463	Viruses	Uroviricota	Caudoviricetes	sepvirinae	sepvirinae	Oslovirus	Oslovirus ArgO145
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 420	CAA35260.1	HCMVUS28 [Human betaherpesvirus 5]	323	Human betaherpesvirus 5	6.90E-05	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 421	CAA28338.1	unnamed protein product [Human betaherpesvirus 5]	323	Human betaherpesvirus 5	6.90E-05	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 424	QTT58615.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	8.19E-05	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 430	AQN73988.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000109046	69	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 431	QPZ44933.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000110026	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 432	CAC37934.1	chemokine receptor homologue [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000110026	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 433	AQN69608.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000110026	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 436	AAO22976.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000120328	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 437	AAO22974.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000120328	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 443	AKI09051.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.00012141	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 452	AMJ53024.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000132776	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 453	AKI10898.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000132776	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 454	YP_081612.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000133969	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 456	ACZ72907.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000133969	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 457	AAR31716.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000133969	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 458	AAO22965.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000133969	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 461	QHX40733.1	"ORFS364W, partial [Human betaherpesvirus 5]"	386	Human betaherpesvirus 5	0.000135234	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 462	QHX40268.1	"ORFS364W, partial [Human betaherpesvirus 5]"	386	Human betaherpesvirus 5	0.000135234	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 467	CAC38860.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000160221	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 468	AAK58045.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000160221	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 469	QPZ45424.1	envelope protein US28 [Human betaherpesvirus 5]	324	Human betaherpesvirus 5	0.000161583	68	115	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 470	QPZ45261.1	envelope protein US28 [Human betaherpesvirus 5]	324	Human betaherpesvirus 5	0.000161583	68	115	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 471	QPZ44770.1	envelope protein US28 [Human betaherpesvirus 5]	324	Human betaherpesvirus 5	0.000161583	68	115	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 472	QPI35075.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000161661	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 473	CAC38850.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000166058	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 474	AAK58035.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000166058	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 475	QIA45641.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000169056	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 476	AKI22256.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000169056	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 477	AHJ84566.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000169056	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 480	AMJ55191.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000173654	68	115	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 481	AKI07711.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000173654	68	115	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 482	AYH91643.1	"US28, partial [Human betaherpesvirus 5]"	217	Human betaherpesvirus 5	0.000178312	62	98	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 483	AHJ85749.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000179979	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 484	AAF78285.1	G protein-coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000179979	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 485	APA45760.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000183228	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 486	AKI25140.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000183228	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 487	UNW45220.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000188211	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 488	ACU83782.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000189901	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 491	AAO22956.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000195065	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 492	AAK58034.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000195065	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 493	AAK58030.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000195065	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 494	CAC38851.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000196818	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 495	AAK58036.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000196818	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 496	CAC38849.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000223066	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 497	AAK54384.1	chemokine receptor US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000223066	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
